Indicator,State,Value,Low CI,High CI,Confidence Interval,Quartile Range
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,38.5,34.1,43,34.1 - 43.0,34.1-41.7
Symptoms of Depressive Disorder,Alabama,24.4,19.9,29.3,19.9 - 29.3,24.3-31.2
Symptoms of Anxiety Disorder,Alabama,30.7,25.6,36.2,25.6 - 36.2,29.6-40.1
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,34.2,29.2,39.6,29.2 - 39.6,33.8-44.4
Symptoms of Depressive Disorder,Alabama,23,18,28.8,18.0 - 28.8,21.4-25.5
Symptoms of Anxiety Disorder,Alabama,27.4,21.5,34,21.5 - 34.0,26.8-30.1
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,32.4,26.2,39.1,26.2 - 39.1,31.4-35.6
Symptoms of Depressive Disorder,Alabama,24.4,20.2,29,20.2 - 29.0,24.1-28.6
Symptoms of Anxiety Disorder,Alabama,28.7,23,34.9,23.0 - 34.9,27.4-29.1
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,34.1,28.6,39.9,28.6 - 39.9,32.0-34.1
Symptoms of Depressive Disorder,Alabama,26.2,20.5,32.4,20.5 - 32.4,23.2-28.2
Symptoms of Anxiety Disorder,Alabama,27,21.5,33,21.5 - 33.0,25.1-27.0
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,32.1,25.9,38.7,25.9 - 38.7,31.2-33.2
Symptoms of Depressive Disorder,Alabama,25.9,20.8,31.5,20.8 - 31.5,24.7-31.4
Symptoms of Anxiety Disorder,Alabama,26.7,22.1,31.6,22.1 - 31.6,25.8-28.0
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,33.9,28.5,39.7,28.5 - 39.7,32.3-34.6
Symptoms of Depressive Disorder,Alabama,26.1,20.1,32.8,20.1 - 32.8,23.9-29.6
Symptoms of Anxiety Disorder,Alabama,30.4,23.9,37.4,23.9 - 37.4,29.4-34.4
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,33.8,27,41.1,27.0 - 41.1,33.5-38.2
Symptoms of Depressive Disorder,Alabama,26.4,22,31.2,22.0 - 31.2,22.9-28.4
Symptoms of Anxiety Disorder,Alabama,26.4,21.8,31.4,21.8 - 31.4,24.5-26.6
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,33.5,28.4,38.9,28.4 - 38.9,30.0-33.7
Symptoms of Depressive Disorder,Alabama,21.1,16.2,26.6,16.2 - 26.6,20.0-21.1
Symptoms of Anxiety Disorder,Alabama,22.2,18,27,18.0 - 27.0,19.2-24.7
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,28.6,23.4,34.3,23.4 - 34.3,28.6-30.1
Symptoms of Depressive Disorder,Alabama,23.1,18.1,28.6,18.1 - 28.6,20.9-23.1
Symptoms of Anxiety Disorder,Alabama,27.4,22.3,33,22.3 - 33.0,26.2-27.9
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,31,25.8,36.5,25.8 - 36.5,30.1-31.9
Symptoms of Depressive Disorder,Alabama,28.8,23.9,34.2,23.9 - 34.2,25.0-32.7
Symptoms of Anxiety Disorder,Alabama,32.1,27.1,37.4,27.1 - 37.4,30.9-38.0
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,37.7,32.7,42.9,32.7 - 42.9,34.9-46.1
Symptoms of Depressive Disorder,Alabama,28.7,22.9,35.1,22.9 - 35.1,25.8-33.1
Symptoms of Anxiety Disorder,Alabama,30.7,24.6,37.3,24.6 - 37.3,28.6-31.7
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,37.4,30.4,44.8,30.4 - 44.8,37.1-43.5
Symptoms of Depressive Disorder,Alabama,32.6,26.7,38.9,26.7 - 38.9,23.6-32.6
Symptoms of Anxiety Disorder,Alabama,38.8,32.6,45.1,32.6 - 45.1,30.0-38.8
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,42.3,36.1,48.8,36.1 - 48.8,33.9-42.6
Symptoms of Depressive Disorder,Alabama,29.7,25.3,34.4,25.3 - 34.4,26.4-31.4
Symptoms of Anxiety Disorder,Alabama,34.6,29.2,40.3,29.2 - 40.3,34.0-41.4
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,42.7,36.8,48.8,36.8 - 48.8,38.0-46.8
Symptoms of Depressive Disorder,Alabama,24.3,19,30.2,19.0 - 30.2,23.8-26.9
Symptoms of Anxiety Disorder,Alabama,30.2,24.7,36.1,24.7 - 36.1,28.4-31.2
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,34.5,29.1,40.3,29.1 - 40.3,33.4-35.7
Symptoms of Depressive Disorder,Alabama,28.8,23.5,34.5,23.5 - 34.5,26.4-30.2
Symptoms of Anxiety Disorder,Alabama,32.4,27.3,37.9,27.3 - 37.9,30.8-32.4
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,39,33.5,44.7,33.5 - 44.7,37.3-40.3
Symptoms of Depressive Disorder,Alabama,27.1,22.5,32.2,22.5 - 32.2,26.2-32.0
Symptoms of Anxiety Disorder,Alabama,32.2,27.1,37.7,27.1 - 37.7,31.5-37.4
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,36.9,31.9,42.2,31.9 - 42.2,36.1-41.1
Symptoms of Depressive Disorder,Alabama,28.3,23.5,33.4,23.5 - 33.4,23.0-30.8
Symptoms of Anxiety Disorder,Alabama,33,29,37.2,29.0 - 37.2,29.4-34.2
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,38.2,34.7,41.8,34.7 - 41.8,33.3-39.2
Symptoms of Depressive Disorder,Alabama,25.2,21.9,28.7,21.9 - 28.7,23.5-30.3
Symptoms of Anxiety Disorder,Alabama,30.5,26.7,34.6,26.7 - 34.6,28.3-30.5
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,34.7,30.8,38.8,30.8 - 38.8,34.4-39.2
Symptoms of Depressive Disorder,Alabama,27.4,23.3,31.9,23.3 - 31.9,23.6-29.7
Symptoms of Anxiety Disorder,Alabama,34,29,39.2,29.0 - 39.2,29.8-39.0
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,38.5,33.7,43.4,33.7 - 43.4,34.6-42.4
Symptoms of Depressive Disorder,Alabama,27.3,22.1,33,22.1 - 33.0,23.5-28.2
Symptoms of Anxiety Disorder,Alabama,29.2,25.1,33.6,25.1 - 33.6,28.0-30.5
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,37.1,31.7,42.6,31.7 - 42.6,34.8-40.6
Symptoms of Depressive Disorder,Alabama,28.8,23.4,34.7,23.4 - 34.7,23.4-29.8
Symptoms of Anxiety Disorder,Alabama,30.6,25.7,35.8,25.7 - 35.8,30.0-39.4
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,37.9,32,44,32.0 - 44.0,34.6-42.9
Symptoms of Depressive Disorder,Alabama,25.5,20.7,30.8,20.7 - 30.8,22.8-27.1
Symptoms of Anxiety Disorder,Alabama,27.1,22.4,32.1,22.4 - 32.1,26.4-27.5
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,35.1,30.1,40.3,30.1 - 40.3,34.8-39.4
Symptoms of Depressive Disorder,Alabama,27.3,22.5,32.5,22.5 - 32.5,24.6-29.8
Symptoms of Anxiety Disorder,Alabama,29.3,24.6,34.5,24.6 - 34.5,27.5-29.9
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,36.9,31.6,42.5,31.6 - 42.5,35.2-39.4
Symptoms of Depressive Disorder,Alabama,25,21.1,29.2,21.1 - 29.2,24.7-27.2
Symptoms of Anxiety Disorder,Alabama,30.7,26.4,35.2,26.4 - 35.2,28.2-30.7
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,35.1,31.3,39,31.3 - 39.0,32.1-35.1
Symptoms of Depressive Disorder,Alabama,22.1,18.2,26.3,18.2 - 26.3,20.7-26.6
Symptoms of Anxiety Disorder,Alabama,26.3,22.7,30.2,22.7 - 30.2,25.0-26.4
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,30.4,26.6,34.4,26.6 - 34.4,28.7-31.3
Symptoms of Depressive Disorder,Alabama,24.3,20.3,28.5,20.3 - 28.5,22.0-24.4
Symptoms of Anxiety Disorder,Alabama,34,30.2,38,30.2 - 38.0,31.5-40.1
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,38.2,34.1,42.4,34.1 - 42.4,36.3-44.7
Symptoms of Depressive Disorder,Alabama,23.9,20.3,27.8,20.3 - 27.8,22.8-24.5
Symptoms of Anxiety Disorder,Alabama,29.4,25.1,33.9,25.1 - 33.9,28.4-29.9
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,35.9,31.7,40.3,31.7 - 40.3,35.0-36.3
Symptoms of Depressive Disorder,Alabama,15.8,12.5,19.4,12.5 - 19.4,15.7-17.9
Symptoms of Anxiety Disorder,Alabama,16.2,13.3,19.5,13.3 - 19.5,15.7-17.1
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,21.4,18.1,25,18.1 - 25.0,20.9-23.3
Symptoms of Depressive Disorder,Alabama,14.4,11.2,18.1,11.2 - 18.1,13.3-15.1
Symptoms of Anxiety Disorder,Alabama,19.4,15.7,23.6,15.7 - 23.6,17.6-19.5
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,23.3,19.2,27.7,19.2 - 27.7,21.0-23.3
Symptoms of Depressive Disorder,Alabama,15.6,12.4,19.3,12.4 - 19.3,15.0-17.8
Symptoms of Anxiety Disorder,Alabama,18,15.2,21,15.2 - 21.0,17.8-19.3
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,23,19.5,26.7,19.5 - 26.7,22.9-25.4
Symptoms of Depressive Disorder,Alabama,14.7,11.5,18.3,11.5 - 18.3,14.1-14.9
Symptoms of Anxiety Disorder,Alabama,18.8,15.6,22.3,15.6 - 22.3,18.6-19.3
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,20.9,17.6,24.5,17.6 - 24.5,19.6-21.4
Symptoms of Depressive Disorder,Alabama,14.8,11.5,18.6,11.5 - 18.6,14.4-15.0
Symptoms of Anxiety Disorder,Alabama,16.5,13.2,20.3,13.2 - 20.3,12.5-16.5
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,20.8,17,24.9,17.0 - 24.9,20.0-21.3
Symptoms of Depressive Disorder,Alabama,16.2,13.2,19.6,13.2 - 19.6,15.4-17.7
Symptoms of Anxiety Disorder,Alabama,19.2,15.8,22.9,15.8 - 22.9,19.1-21.2
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,23.5,20.1,27,20.1 - 27.0,22.4-24.6
Symptoms of Depressive Disorder,Alabama,14.6,11.6,18,11.6 - 18.0,14.0-15.5
Symptoms of Anxiety Disorder,Alabama,18.1,14.9,21.6,14.9 - 21.6,17.9-18.6
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,22.5,19,26.2,19.0 - 26.2,21.5-22.7
Symptoms of Depressive Disorder,Alabama,13.6,10.5,17.3,10.5 - 17.3,13.6-15.0
Symptoms of Anxiety Disorder,Alabama,16.5,13.4,19.9,13.4 - 19.9,16.4-17.8
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,21,17.5,24.8,17.5 - 24.8,19.3-21.2
Symptoms of Depressive Disorder,Alabama,11.2,8,15.2,8.0 - 15.2,8.9-12.4
Symptoms of Anxiety Disorder,Alabama,16.8,13.5,20.5,13.5 - 20.5,16.4-18.0
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,18.4,15,22.2,15.0 - 22.2,16.6-19.4
Symptoms of Depressive Disorder,Alaska,19.2,16.8,21.8,16.8 - 21.8,16.5 - 20.7
Symptoms of Anxiety Disorder,Alaska,27.7,24.8,30.7,24.8 - 30.7,21.7 - 27.8
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,31.5,28.8,34.4,28.8 - 34.4,25.6 - 33.3
Symptoms of Depressive Disorder,Alaska,25.1,20.3,30.4,20.3 - 30.4,23.1 - 25.6
Symptoms of Anxiety Disorder,Alaska,27.4,22.8,32.4,22.8 - 32.4,26.3 - 28.7
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,35.7,30.9,40.8,30.9 - 40.8,33.5 - 36.0
Symptoms of Depressive Disorder,Alaska,23.6,19.5,28.2,19.5 - 28.2,23.3-25.6
Symptoms of Anxiety Disorder,Alaska,26.2,22,30.7,22.0 - 30.7,25.3-27.4
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,32.7,27.8,37.9,27.8 - 37.9,32.6-34.9
Symptoms of Depressive Disorder,Alaska,26.8,22.6,31.3,22.6 - 31.3,25.9-31.1
Symptoms of Anxiety Disorder,Alaska,31.6,27,36.5,27.0 - 36.5,30.7-36.0
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,36.4,31.5,41.4,31.5 - 41.4,35.6-41.4
Symptoms of Depressive Disorder,Alaska,24.4,20.1,29.2,20.1 - 29.2,24.4-26.8
Symptoms of Anxiety Disorder,Alaska,26.1,21.6,31,21.6 - 31.0,18.4-26.7
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,31.6,27.1,36.3,27.1 - 36.3,26.0-31.6
Symptoms of Depressive Disorder,Alaska,21.5,17.1,26.4,17.1 - 26.4,21.3-25.0
Symptoms of Anxiety Disorder,Alaska,26.2,21.3,31.6,21.3 - 31.6,20.2-26.4
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,35.2,30,40.7,30.0 - 40.7,34.8-37.6
Symptoms of Depressive Disorder,Alaska,23.5,19.5,27.9,19.5 - 27.9,21.8-23.9
Symptoms of Anxiety Disorder,Alaska,33.3,28.8,38,28.8 - 38.0,30.6-33.3
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,36.5,32.1,41.1,32.1 - 41.1,35.0-37.9
Symptoms of Depressive Disorder,Alaska,25.7,21.4,30.3,21.4 - 30.3,25.1-28.7
Symptoms of Anxiety Disorder,Alaska,31.8,27.3,36.5,27.3 - 36.5,30.9-33.3
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,37.1,32.8,41.5,32.8 - 41.5,34.5-38.3
Symptoms of Depressive Disorder,Alaska,23.8,19.1,28.9,19.1 - 28.9,19.0-23.8
Symptoms of Anxiety Disorder,Alaska,32.5,28.5,36.7,28.5 - 36.7,32.3-34.7
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,35.3,31.1,39.6,31.1 - 39.6,34.1-35.9
Symptoms of Depressive Disorder,Alaska,21.5,17.6,25.9,17.6 - 25.9,17.5-23.8
Symptoms of Anxiety Disorder,Alaska,27.3,22.2,32.8,22.2 - 32.8,25.7-31.3
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,32.9,28.4,37.7,28.4 - 37.7,30.9-34.8
Symptoms of Depressive Disorder,Alaska,27.4,22.6,32.5,22.6 - 32.5,27.3-30.7
Symptoms of Anxiety Disorder,Alaska,35.1,30.1,40.3,30.1 - 40.3,34.3-37.8
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,39.6,34.1,45.3,34.1 - 45.3,38.4-42.0
Symptoms of Depressive Disorder,Alaska,27.4,22.9,32.2,22.9 - 32.2,26.0-29.3
Symptoms of Anxiety Disorder,Alaska,33.8,29,38.8,29.0 - 38.8,32.3-35.5
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,38.8,34.1,43.7,34.1 - 43.7,37.2-40.5
Symptoms of Depressive Disorder,Alaska,22.2,19.3,25.2,19.3 - 25.2,21.0-23.8
Symptoms of Anxiety Disorder,Alaska,30.5,27.5,33.5,27.5 - 33.5,28.5-30.6
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,34.8,32,37.8,32.0 - 37.8,33.3-35.6
Symptoms of Depressive Disorder,Alaska,23.6,20.6,26.7,20.6 - 26.7,23.3-26.5
Symptoms of Anxiety Disorder,Alaska,28.4,25.7,31.2,25.7 - 31.2,22.2-29.0
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,33.6,30.5,36.8,30.5 - 36.8,33.2-35.3
Symptoms of Depressive Disorder,Alaska,25.2,22.3,28.3,22.3 - 28.3,24.1-26.8
Symptoms of Anxiety Disorder,Alaska,29.9,27,32.9,27.0 - 32.9,29.3-31.5
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,35.5,32.7,38.5,32.7 - 38.5,33.4-36.2
Symptoms of Depressive Disorder,Alaska,27.1,24,30.4,24.0 - 30.4,26.1-31.5
